,addrcode,land_area,image_area,area/image,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,bin_ai,bowl_ai,bucket_ai,misc_short_ai,jar_ai,pottedplant_ai,tire_ai,misc_tall_ai,total_ai
130,103901,20.25,23.36,0.87,59,18,135,14,9,436,38,9,718,51.33,15.66,117.45,12.18,7.83,379.32,33.06,7.83,624.66
131,103902,67.6,80.66,0.84,286,39,563,27,14,1283,140,16,2368,240.24,32.76,472.92,22.68,11.76,1077.72,117.6,13.44,1989.12
132,103903,32.84,43.05,0.76,129,24,358,21,15,644,81,4,1276,98.04,18.24,272.08,15.96,11.4,489.44,61.56,3.04,969.76
133,104001,64.66,58.01,1.11,153,26,1129,30,62,1803,195,7,3405,169.83,28.86,1253.19,33.3,68.82,2001.33,216.45,7.77,3779.55
134,104003,146.97,75.87,1.94,230,25,889,16,90,1241,170,7,2668,446.2,48.5,1724.66,31.04,174.6,2407.54,329.8,13.58,5175.92
135,104004,112.34,25.83,4.35,15,0,31,2,1,66,26,0,141,65.25,0.0,134.85,8.7,4.35,287.1,113.1,0.0,613.35
136,104101,155.78,185.11,0.84,604,74,1992,46,145,4426,371,10,7668,507.36,62.16,1673.28,38.64,121.8,3717.84,311.64,8.4,6441.12
137,104102,54.86,89.84,0.61,182,18,739,33,60,1196,170,6,2404,111.02,10.98,450.79,20.13,36.6,729.56,103.7,3.66,1466.44
138,104201,153.38,101.62,1.51,487,37,1761,31,197,2951,314,11,5789,735.37,55.87,2659.11,46.81,297.47,4456.01,474.14,16.61,8741.39
139,104202,140.66,41.99,3.35,66,5,138,1,10,154,56,1,431,221.1,16.75,462.3,3.35,33.5,515.9,187.6,3.35,1443.85
140,104203,111.23,84.12,1.32,465,39,1381,22,162,2194,227,7,4497,613.8,51.48,1822.92,29.04,213.84,2896.08,299.64,9.24,5936.04
141,104301,118.42,80.88,1.46,306,28,1013,22,74,1769,158,4,3374,446.76,40.88,1478.98,32.12,108.04,2582.74,230.68,5.84,4926.04
142,104302,117.33,155.89,0.75,484,34,1684,23,72,2796,303,10,5406,363.0,25.5,1263.0,17.25,54.0,2097.0,227.25,7.5,4054.5
143,104401,260.65,205.72,1.27,349,47,2160,29,181,4844,409,12,8031,443.23,59.69,2743.2,36.83,229.87,6151.88,519.43,15.24,10199.37
144,104501,45.64,81.72,0.56,245,13,902,11,38,1283,250,5,2747,137.2,7.28,505.12,6.16,21.28,718.48,140.0,2.8,1538.32
145,104502,15.9,33.03,0.48,153,17,523,10,21,850,135,6,1715,73.44,8.16,251.04,4.8,10.08,408.0,64.8,2.88,823.2
146,104503,33.55,9.74,3.44,3,0,4,0,0,9,3,0,19,10.32,0.0,13.76,0.0,0.0,30.96,10.32,0.0,65.36
147,104504,63.5,90.97,0.7,518,61,1506,34,57,2034,252,5,4467,362.6,42.7,1054.2,23.8,39.9,1423.8,176.4,3.5,3126.9
148,104601,268.08,72.41,3.7,151,7,754,3,26,719,141,0,1801,558.7,25.9,2789.8,11.1,96.2,2660.3,521.7,0.0,6663.7
149,104602,401.43,74.03,5.42,97,12,287,3,35,571,177,1,1183,525.74,65.04,1555.54,16.26,189.7,3094.82,959.34,5.42,6411.86
150,104603,186.92,125.69,1.49,278,33,2099,40,142,2820,289,6,5707,414.22,49.17,3127.51,59.6,211.58,4201.8,430.61,8.94,8503.43
151,104604,98.9,28.09,3.52,44,7,235,2,6,267,51,0,612,154.88,24.64,827.2,7.04,21.12,939.84,179.52,0.0,2154.24
152,104605,161.16,40.51,3.98,82,6,314,4,43,301,63,0,813,326.36,23.88,1249.72,15.92,171.14,1197.98,250.74,0.0,3235.74
153,104701,175.9,51.73,3.4,151,15,510,11,20,686,154,7,1554,513.4,51.0,1734.0,37.4,68.0,2332.4,523.6,23.8,5283.6
154,104801,185.52,68.24,2.72,161,4,444,8,32,578,134,1,1362,437.92,10.88,1207.68,21.76,87.04,1572.16,364.48,2.72,3704.64
155,104802,295.04,159.71,1.85,271,13,837,14,61,1302,342,5,2845,501.35,24.05,1548.45,25.9,112.85,2408.7,632.7,9.25,5263.25
156,104901,103.69,45.66,2.27,186,17,691,11,25,959,104,3,1996,422.22,38.59,1568.57,24.97,56.75,2176.93,236.08,6.81,4530.92
157,104902,202.18,73.89,2.74,188,16,1057,13,27,1583,151,6,3041,515.12,43.84,2896.18,35.62,73.98,4337.42,413.74,16.44,8332.34
158,105001,332.92,214.54,1.55,520,96,3866,74,164,4234,601,13,9568,806.0,148.8,5992.3,114.7,254.2,6562.7,931.55,20.15,14830.4
