X,Y,addrcode,TB_EN,N_TB_IDN
98.61641109,8.2919481,810513,???????????,810513
98.6990565,8.29389866,810512,???????????,810512
99.0445092,8.22706196,810201,Khao Phanom,810201
98.88597326,8.20314052,810111,Thap Prik,810111
98.79410891,8.41436031,810506,Ao Luek Nuea,810506
98.89137646,8.38768798,810508,Khlong Ya,810508
98.79512492,8.35878431,810509,Ban Klang,810509
98.70653755,8.38574207,810501,Ao Luek Tai,810501
99.11366433,8.34262189,810202,Khao Din,810202
98.65021973,8.30382433,810502,Laem Sak,810502
98.71559925,8.26831091,810505,Ao Luek Noi,810505
98.83854596,8.31105485,810504,Khlong Hin,810504
98.72485446,8.21670509,810105,Khao Khram,810105
98.73029766,8.21748009,810105,Khao Khram,810105
98.7292992,8.2097048,810105,Khao Khram,810105
98.68792804,8.21168093,810501,Ao Luek Tai,810501
98.74244825,8.14079931,810106,Khao Thong,810106
98.69122412,8.20820199,810502,Laem Sak,810502
99.1388094,8.07458992,810407,Phela,810407
98.69022877,8.20434394,810503,Na Nuea,810503
98.79290038,8.23310895,810105,Khao Khram,810105
98.62965262,8.26208126,810513,???????????,810513
98.64080315,8.23911332,810513,???????????,810513
98.95919554,8.17554347,810103,Krabi Noi,810103
99.25157685,8.1880826,810206,Khok Han,810206
98.70446505,8.24557205,810517,?????????,810517
99.06588492,8.15152713,810808,Huai Yung,810808
98.70847278,8.23827196,810516,???????,810516
99.06035768,7.20691032,810301,Ko Lanta Yai,810301
99.07343393,7.22311753,810301,Ko Lanta Yai,810301
98.71928358,8.45918268,810507,Khao Yai,810507
98.70694349,8.53029612,810503,Na Nuea,810503
