,addrcode,Week,Year,rainfall,predicted,actual
216,8006,23,2017,125.03,0.2705078689106681,0.23630048
217,8006,24,2017,59.0,0.18374756175186216,0.0
218,8006,25,2017,53.57,0.3717822311885534,0.0
219,8006,26,2017,117.33,0.3443697671772268,0.0
220,8006,27,2017,109.95,0.26020433581356844,0.472600959
221,8006,28,2017,324.36,0.25446310808813627,0.23630048
222,8006,29,2017,279.45,0.230327608928779,0.472600959
223,8006,30,2017,53.53,0.17581014000377554,0.0
224,8006,31,2017,353.91,0.2784997036184639,0.0
225,8006,32,2017,248.94,0.28211568493748346,0.0
226,8006,33,2017,631.25,0.33204641503975396,0.472600959
227,8006,34,2017,561.45,0.2757596146770968,0.23630048
228,8006,35,2017,275.33,0.21964219500889703,0.0
229,8006,36,2017,324.6,0.2035384577913981,0.0
230,8006,37,2017,400.84,0.277101957139715,0.23630048
231,8006,38,2017,187.17,0.2706715618273868,0.23630048
232,8006,39,2017,210.88,0.1848182637283048,0.0
233,8006,40,2017,397.12,0.1796062666296835,0.23630048
234,8006,41,2017,1394.13,0.2500228223324513,0.23630048
235,8006,42,2017,402.97,0.2416939305112779,0.23630048
236,8006,43,2017,480.54,0.17991552134589078,0.23630048
237,8006,44,2017,1406.76,0.23542767238763218,0.0
238,8006,45,2017,856.54,0.2776175630614117,0.23630048
239,8006,46,2017,1465.7,0.255376652196747,0.23630048
240,8007,7,2017,0.0,0.2624962586018703,0.115814465
241,8007,8,2017,207.78,0.19615950122049047,0.0
242,8007,9,2017,0.0,0.14104737385430033,0.0
243,8007,10,2017,78.69,0.17906528937239657,0.23162893
244,8007,11,2017,82.51,0.22147911290940608,0.0
245,8007,12,2017,135.24,0.16541479663941672,0.115814465
246,8007,13,2017,234.98,0.1548445060860535,0.23162893
247,8007,14,2017,139.24,0.1991148281240106,0.115814465
248,8007,15,2017,96.75,0.17108859864723724,0.115814465
249,8007,16,2017,1.09,0.16305219672764107,0.23162893
250,8007,17,2017,501.09,0.22323675724147424,0.115814465
251,8007,18,2017,652.3,0.2118094487848125,0.347443396
252,8007,19,2017,333.43,0.1835977066621558,0.579072326
253,8007,20,2017,569.4,0.23425148572110865,0.115814465
254,8007,21,2017,591.21,0.22348998293507386,0.0
255,8007,22,2017,434.26,0.2639663422001102,0.463257861
256,8007,23,2017,169.62,0.34075972205814137,0.115814465
257,8007,24,2017,131.33,0.2682693557478877,0.115814465
258,8007,25,2017,189.23,0.20145969794578478,0.347443396
259,8007,26,2017,326.26,0.2951676983956287,0.347443396
260,8007,27,2017,216.0,0.24971175366494117,0.0
261,8007,28,2017,360.22,0.17799361821695744,0.579072326
262,8007,29,2017,459.01,0.2751529447029423,0.347443396
263,8007,30,2017,84.34,0.3194319649985968,0.347443396
264,8007,31,2017,631.11,0.21151824594119817,0.115814465
265,8007,32,2017,507.28,0.31377998243618244,0.115814465
266,8007,33,2017,785.15,0.3601519507953187,0.0
267,8007,34,2017,750.34,0.30877979314576537,0.115814465
268,8007,35,2017,298.15,0.263686442407224,0.0
269,8007,36,2017,656.09,0.2675246577857235,0.347443396
270,8007,37,2017,570.29,0.1664332468359601,0.0
271,8007,38,2017,279.87,0.16250682562548496,0.347443396
272,8007,39,2017,173.34,0.11544832009398327,0.579072326
273,8007,40,2017,579.36,0.18377486339383936,0.115814465
274,8007,41,2017,1193.46,0.18114907294007243,0.23162893
275,8007,42,2017,461.51,0.20566745094846023,0.23162893
276,8007,43,2017,699.96,0.3334157089898931,0.23162893
277,8007,44,2017,1229.0,0.2880037375165469,0.115814465
278,8007,45,2017,794.69,0.2590253990376744,0.115814465
279,8007,46,2017,1647.86,0.28122824896406123,0.347443396
280,8008,7,2017,12.87,0.2881309275234474,0.178439192
281,8008,8,2017,64.0,0.22918131858784693,0.356878385
282,8008,9,2017,0.0,0.20866842554524612,0.089219596
283,8008,10,2017,120.96,0.2175203195606848,0.267658789
284,8008,11,2017,30.66,0.2568974160670614,0.089219596
285,8008,12,2017,300.67,0.3036697349714895,0.624537173
286,8008,13,2017,236.22,0.27704196670270825,0.178439192
287,8008,14,2017,150.32,0.28789436891576337,0.356878385
288,8008,15,2017,176.76,0.2787490356477337,0.356878385
289,8008,16,2017,2.12,0.37279180998355316,0.356878385
290,8008,17,2017,619.58,0.3473946334064578,0.267658789
291,8008,18,2017,546.79,0.32690905975804285,0.178439192
292,8008,19,2017,103.49,0.37103088924095995,0.267658789
293,8008,20,2017,226.68,0.3829426660349412,0.089219596
294,8008,21,2017,496.73,0.3375459855907851,0.089219596
295,8008,22,2017,369.66,0.32966493140212594,0.178439192
296,8008,23,2017,270.69,0.2917495589933561,0.089219596
297,8008,24,2017,184.77,0.252641810319925,0.178439192
