,Day,Year,addrcode,temperature
10309,145,2016,810205,27.88
10310,145,2016,810604,26.24
10311,145,2016,802303,34.14
10312,145,2016,800904,30.39
10313,145,2016,800607,33.05
10314,145,2016,801611,31.05
10315,145,2016,801608,30.09
10316,145,2016,800606,32.01
10317,145,2016,800913,28.7
10318,145,2016,800601,31.33
10319,145,2016,800903,29.45
10320,145,2016,801305,34.66
10321,145,2016,801306,33.53
10322,145,2016,800902,30.39
10323,145,2016,800605,31.59
10324,145,2016,800612,32.56
10325,145,2016,801906,29.19
10326,145,2016,800613,32.1
10327,145,2016,801606,30.83
10328,145,2016,800706,31.41
10329,145,2016,800907,30.82
10330,145,2016,801601,31.64
10333,337,2015,801304,24.96
10334,337,2015,800603,28.59
10335,337,2015,800905,28.72
10336,337,2015,800909,27.55
10337,337,2015,801701,26.34
10338,337,2015,801903,26.73
10339,337,2015,800611,27.13
10340,337,2015,801204,24.43
10341,337,2015,801101,27.65
10342,337,2015,801302,23.25
10343,337,2015,802003,28.59
10344,337,2015,801215,26.99
10345,337,2015,801206,27.51
10346,337,2015,801207,28.09
10347,337,2015,801217,27.27
10348,337,2015,802001,28.77
10349,337,2015,800305,28.47
10350,337,2015,801105,28.5
10351,337,2015,801212,27.51
10352,337,2015,801003,28.06
10353,337,2015,800302,24.53
10354,337,2015,801208,26.35
10355,337,2015,800911,27.62
10356,337,2015,801107,27.13
10357,337,2015,801213,27.45
10358,337,2015,800912,29.05
10359,337,2015,801218,28.43
10360,337,2015,802301,25.65
10361,337,2015,801301,26.51
10362,337,2015,800906,23.79
10363,337,2015,801216,26.01
10364,337,2015,801001,29.03
10365,337,2015,801303,24.61
10366,337,2015,802304,24.43
10367,337,2015,801203,29.27
10368,337,2015,801104,26.8
10369,337,2015,801214,27.14
10370,337,2015,800407,26.91
10371,337,2015,800112,27.53
10372,337,2015,800304,24.96
10373,337,2015,800106,27.15
10374,337,2015,800405,27.11
10375,337,2015,801801,26.65
10376,337,2015,800303,27.53
10377,337,2015,801106,26.81
10378,337,2015,801103,27.85
10379,337,2015,800122,27.47
10380,337,2015,802202,28.59
10381,337,2015,801210,27.41
10382,337,2015,801002,27.21
10383,337,2015,802004,27.47
10384,337,2015,802201,26.48
10385,337,2015,801102,27.2
10386,337,2015,800301,26.51
10387,337,2015,800101,28.09
10388,337,2015,800119,26.81
10389,337,2015,800416,27.04
10390,337,2015,801202,28.35
10391,337,2015,810602,25.8
10392,337,2015,810601,25.67
10393,337,2015,800807,25.33
10394,337,2015,800204,24.75
10395,337,2015,800501,25.81
10396,337,2015,800120,27.58
10397,337,2015,810301,25.04
10398,337,2015,810603,26.24
10399,337,2015,800201,27.33
10400,337,2015,800205,27.33
10401,337,2015,800403,25.99
10402,337,2015,801209,26.31
10403,337,2015,800116,26.93
10404,337,2015,801803,26.64
10405,337,2015,800410,26.99
10406,337,2015,800406,27.2
10407,337,2015,800505,26.73
10408,337,2015,800504,26.04
10409,337,2015,800121,26.74
10410,337,2015,801802,26.86
10411,337,2015,800203,27.47
10412,337,2015,800404,26.59
10413,337,2015,800202,27.75
10414,337,2015,802101,24.92
10415,337,2015,802103,26.02
10416,337,2015,800803,27.8
10417,337,2015,800503,25.99
10418,337,2015,800502,25.36
10419,337,2015,800801,28.23
10420,337,2015,802104,25.09
10421,337,2015,801403,26.03
10422,337,2015,801408,26.75
10423,337,2015,802102,23.62
10424,337,2015,801404,27.49
10425,337,2015,800802,28.33
10426,337,2015,801407,27.03
10427,337,2015,800811,26.3
10428,337,2015,801405,26.74
10429,337,2015,800813,26.35
10430,337,2015,800804,26.67
10431,337,2015,800409,26.39
10432,337,2015,801604,25.65
10433,337,2015,800704,25.35
10434,337,2015,801605,26.39
10435,337,2015,801704,26.21
10436,337,2015,801702,25.07
10437,337,2015,801902,28.47
10438,337,2015,801703,27.51
10439,337,2015,801603,25.87
10440,337,2015,800910,25.9
10441,337,2015,801905,27.26
10442,337,2015,800701,25.68
10443,337,2015,800908,27.1
10444,337,2015,801503,25.35
10445,337,2015,801501,27.04
10446,337,2015,801502,26.52
10447,337,2015,801406,27.0
10448,337,2015,801409,26.14
10449,337,2015,801402,26.61
10450,337,2015,800710,27.47
10451,337,2015,800705,25.19
10452,337,2015,810304,23.96
10453,337,2015,810405,25.31
10454,337,2015,810803,25.14
10455,337,2015,810403,25.19
10456,337,2015,810302,26.09
10457,337,2015,810305,26.12
10458,337,2015,810303,25.07
10459,337,2015,810404,25.41
10460,337,2015,810106,24.97
10461,337,2015,810801,23.75
10462,337,2015,810115,25.6
10463,337,2015,810406,26.68
10464,337,2015,810805,25.34
10465,337,2015,810701,24.76
10466,337,2015,810702,26.69
10467,337,2015,810703,24.45
10468,337,2015,810117,24.79
10469,337,2015,810704,24.39
10470,337,2015,810402,24.64
10471,337,2015,810401,24.86
10472,337,2015,810806,26.21
10473,337,2015,810116,24.93
10474,337,2015,810118,21.14
10475,337,2015,810804,23.39
10476,337,2015,810807,25.67
10477,337,2015,810204,25.97
10478,337,2015,810203,25.36
10479,337,2015,810201,27.34
10480,337,2015,810111,25.95
10481,337,2015,810506,25.55
10482,337,2015,810508,26.55
10483,337,2015,810509,24.93
10484,337,2015,810501,25.78
10485,337,2015,810202,24.17
10486,337,2015,810502,25.42
10487,337,2015,810505,24.98
10488,337,2015,810504,25.87
10489,337,2015,810105,25.84
10490,337,2015,810407,25.79
10491,337,2015,810103,25.14
10492,337,2015,810206,25.12
10493,337,2015,810808,27.06
10494,337,2015,810507,24.64
10495,337,2015,810503,26.06
10496,337,2015,810205,25.54
10497,337,2015,810604,24.47
10498,337,2015,802303,25.11
10499,337,2015,800904,28.73
10500,337,2015,800607,28.03
10501,337,2015,801611,28.31
10502,337,2015,801608,28.85
10503,337,2015,800606,28.87
10504,337,2015,800913,27.62
10505,337,2015,800601,28.77
10506,337,2015,800903,29.05
10507,337,2015,801305,23.86
10508,337,2015,801306,19.97
10509,337,2015,800902,28.73
10510,337,2015,800605,28.01
10511,337,2015,800612,28.67
10512,337,2015,801906,25.97
10513,337,2015,800613,26.88
10514,337,2015,801606,27.77
10515,337,2015,800706,28.09
10516,337,2015,800907,28.7
10517,337,2015,801601,27.22
10518,337,2015,801904,
10519,337,2015,800115,
10520,337,2015,800113,
10521,337,2015,800806,
10522,337,2015,801602,
10523,337,2015,801610,
10524,337,2015,800702,
10525,337,2015,801609,
10526,337,2015,800708,
10527,337,2015,800707,
10528,337,2015,800711,
10531,129,2015,801205,32.53
10532,129,2015,802302,32.87
10533,129,2015,801211,31.77
10534,129,2015,800102,32.79
10535,129,2015,802203,32.21
10536,129,2015,800103,32.79
10537,129,2015,800118,33.59
10538,129,2015,800401,29.91
10539,129,2015,800108,34.79
10540,129,2015,800114,32.71
10541,129,2015,802002,32.17
10542,129,2015,800415,33.87
10543,129,2015,800810,32.63
10544,129,2015,800107,30.87
10545,129,2015,800809,35.13
10546,129,2015,800709,29.03
10547,129,2015,801901,29.65
10548,129,2015,800703,30.51
10549,129,2015,801401,25.61
10550,129,2015,810802,24.63
10551,129,2015,810101,31.85
