,addrcode,land_area,image_area,image/area,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Age < 7_s,Age 7 - 9_s,Age 10 - 14_s,Age 15 - 24_s,Age 25 - 34_s,Age 35 - 44_s,Age 45 - 60_s,Age > 60_s
103,103001,99.22,161.89,1.0,2241,1258,2253,5215,5709,6955,10890,9143,2241.0,1258.0,2253.0,5215.0,5709.0,6955.0,10890.0,9143.0
104,103002,26.3,29.64,1.0,1114,537,967,2582,3164,3432,4752,3309,1114.0,537.0,967.0,2582.0,3164.0,3432.0,4752.0,3309.0
105,103003,54.48,93.51,1.0,2065,1012,1994,5193,5710,6665,9198,6855,2065.0,1012.0,1994.0,5193.0,5710.0,6665.0,9198.0,6855.0
106,103004,51.6,57.94,1.0,1513,650,1292,3107,4932,5696,7275,6482,1513.0,650.0,1292.0,3107.0,4932.0,5696.0,7275.0,6482.0
107,103005,71.79,112.0,1.0,1293,700,1268,2800,2975,3698,5517,3333,1293.0,700.0,1268.0,2800.0,2975.0,3698.0,5517.0,3333.0
108,103101,19.43,12.35,0.64,1361,643,1142,2950,3135,3279,5474,4253,871.04,411.52,730.88,1888.0,2006.4,2098.56,3503.36,2721.92
109,103102,15.42,8.82,0.57,1476,701,1377,3458,3556,3676,6255,5236,841.32,399.57,784.89,1971.06,2026.92,2095.32,3565.35,2984.52
110,103103,42.33,40.86,0.97,2336,1240,2197,5167,5112,5455,8623,6914,2265.92,1202.8,2131.09,5011.99,4958.64,5291.35,8364.31,6706.58
111,103201,227.55,182.99,0.8,6875,3220,5462,11364,11519,14527,17583,10370,5500.0,2576.0,4369.6,9091.2,9215.2,11621.6,14066.4,8296.0
112,103203,151.65,103.46,0.68,4237,1898,3000,6211,6418,9054,11090,4579,2881.16,1290.64,2040.0,4223.48,4364.24,6156.72,7541.2,3113.72
113,103301,69.55,44.53,0.64,4477,2162,3647,8917,9484,10174,15409,9315,2865.28,1383.68,2334.08,5706.88,6069.76,6511.36,9861.76,5961.6
114,103302,18.05,22.37,1.0,517,248,452,1156,1397,1668,2497,2301,517.0,248.0,452.0,1156.0,1397.0,1668.0,2497.0,2301.0
115,103303,35.34,36.91,1.0,1200,522,943,2390,3375,3784,5167,3844,1200.0,522.0,943.0,2390.0,3375.0,3784.0,5167.0,3844.0
116,103401,223.91,252.01,1.0,8343,3894,7083,15490,18028,21347,26869,17963,8343.0,3894.0,7083.0,15490.0,18028.0,21347.0,26869.0,17963.0
117,103501,58.42,30.63,0.52,2213,1138,2060,5181,5206,5488,9193,6433,1150.76,591.76,1071.2,2694.12,2707.12,2853.76,4780.36,3345.16
118,103502,26.21,18.21,0.69,2027,990,1852,4843,5070,5370,8630,6288,1398.63,683.1,1277.88,3341.67,3498.3,3705.3,5954.7,4338.72
119,103503,81.88,63.66,0.78,2703,1204,2075,5581,6472,6504,10764,6649,2108.34,939.12,1618.5,4353.18,5048.16,5073.12,8395.92,5186.22
120,103504,48.61,33.87,0.7,2172,1120,1925,4879,4880,5154,8473,6127,1520.4,784.0,1347.5,3415.3,3416.0,3607.8,5931.1,4288.9
121,103602,107.93,102.75,0.95,3867,1967,3429,9867,9396,9965,16047,7823,3673.65,1868.65,3257.55,9373.65,8926.2,9466.75,15244.65,7431.85
122,103604,99.34,118.07,1.0,5666,2912,4820,11418,11114,13710,20639,10127,5666.0,2912.0,4820.0,11418.0,11114.0,13710.0,20639.0,10127.0
123,103605,133.73,81.51,0.61,1014,470,786,5489,4061,3518,4942,3336,618.54,286.7,479.46,3348.29,2477.21,2145.98,3014.62,2034.96
124,103701,23.14,28.02,1.0,1101,590,1135,5058,3129,2761,5292,2709,1101.0,590.0,1135.0,5058.0,3129.0,2761.0,5292.0,2709.0
125,103702,11.38,19.69,1.0,413,213,349,1051,1275,1267,2225,2029,413.0,213.0,349.0,1051.0,1275.0,1267.0,2225.0,2029.0
126,103703,9.07,14.89,1.0,724,368,668,1753,2052,2090,3601,3321,724.0,368.0,668.0,1753.0,2052.0,2090.0,3601.0,3321.0
127,103704,22.99,45.38,1.0,975,487,857,2043,2114,2614,3807,3271,975.0,487.0,857.0,2043.0,2114.0,2614.0,3807.0,3271.0
128,103801,138.68,200.07,1.0,5496,2873,5444,11345,12312,16101,22314,15878,5496.0,2873.0,5444.0,11345.0,12312.0,16101.0,22314.0,15878.0
129,103802,58.87,72.05,1.0,1692,765,1396,3118,3896,5042,6474,5155,1692.0,765.0,1396.0,3118.0,3896.0,5042.0,6474.0,5155.0
130,103901,20.25,23.36,1.0,455,225,390,769,967,1180,1805,1687,455.0,225.0,390.0,769.0,967.0,1180.0,1805.0,1687.0
131,103902,67.6,80.66,1.0,2413,1220,2175,4789,4827,5866,8759,8334,2413.0,1220.0,2175.0,4789.0,4827.0,5866.0,8759.0,8334.0
132,103903,32.84,43.05,1.0,1122,553,943,2405,3244,3569,5163,5061,1122.0,553.0,943.0,2405.0,3244.0,3569.0,5163.0,5061.0
133,104001,64.66,58.01,0.9,2688,1366,2342,5503,5543,7095,9398,5236,2419.2,1229.4,2107.8,4952.7,4988.7,6385.5,8458.2,4712.4
134,104003,146.97,75.87,0.52,2430,1213,2154,5718,5440,5970,10557,6587,1263.6,630.76,1120.08,2973.36,2828.8,3104.4,5489.64,3425.24
135,104004,112.34,25.83,0.23,3354,1637,2943,7472,7306,8299,13718,7283,771.42,376.51,676.89,1718.56,1680.38,1908.77,3155.14,1675.09
136,104101,155.78,185.11,1.0,4094,2007,3684,10542,10197,12060,19134,14065,4094.0,2007.0,3684.0,10542.0,10197.0,12060.0,19134.0,14065.0
137,104102,54.86,89.84,1.0,1783,817,1467,3493,3807,4769,7001,4658,1783.0,817.0,1467.0,3493.0,3807.0,4769.0,7001.0,4658.0
138,104201,153.38,101.62,0.66,5259,2576,4535,10041,10320,12899,19588,10144,3470.94,1700.16,2993.1,6627.06,6811.2,8513.34,12928.08,6695.04
139,104202,140.66,41.99,0.3,3137,1379,2247,4875,4931,6872,9019,3508,941.1,413.7,674.1,1462.5,1479.3,2061.6,2705.7,1052.4
140,104203,111.23,84.12,0.76,5974,2980,5016,12221,11602,14214,22436,10903,4540.24,2264.8,3812.16,9287.96,8817.52,10802.64,17051.36,8286.28
141,104301,118.42,80.88,0.68,2720,1318,2130,5280,5184,6108,9596,4974,1849.6,896.24,1448.4,3590.4,3525.12,4153.44,6525.28,3382.32
142,104302,117.33,155.89,1.0,3213,1656,3076,6600,6562,8384,12371,7493,3213.0,1656.0,3076.0,6600.0,6562.0,8384.0,12371.0,7493.0
143,104401,260.65,205.72,0.79,6579,3114,6095,12965,13061,15576,23155,13339,5197.41,2460.06,4815.05,10242.35,10318.19,12305.04,18292.45,10537.81
144,104501,45.64,81.72,1.0,1503,788,1444,3237,3360,4360,6210,4360,1503.0,788.0,1444.0,3237.0,3360.0,4360.0,6210.0,4360.0
145,104502,15.9,33.03,1.0,574,276,596,1598,1662,1939,3146,2567,574.0,276.0,596.0,1598.0,1662.0,1939.0,3146.0,2567.0
146,104503,33.55,9.74,0.29,1616,849,1653,3603,3938,4761,7256,4686,468.64,246.21,479.37,1044.87,1142.02,1380.69,2104.24,1358.94
147,104504,63.5,90.97,1.0,3054,1660,3464,6439,6058,7987,10541,5627,3054.0,1660.0,3464.0,6439.0,6058.0,7987.0,10541.0,5627.0
148,104601,268.08,72.41,0.27,4423,2263,3779,7466,6405,11162,14652,4350,1194.21,611.01,1020.33,2015.82,1729.35,3013.74,3956.04,1174.5
149,104602,401.43,74.03,0.18,2028,970,1816,3902,3287,3915,6907,2758,365.04,174.6,326.88,702.36,591.66,704.7,1243.26,496.44
150,104603,186.92,125.69,0.67,6930,3073,5073,10920,11773,15289,19628,7062,4643.1,2058.91,3398.91,7316.4,7887.91,10243.63,13150.76,4731.54
151,104604,98.9,28.09,0.28,949,436,747,1705,1757,1985,3064,1163,265.72,122.08,209.16,477.4,491.96,555.8,857.92,325.64
152,104605,161.16,40.51,0.25,1597,687,1222,2657,2382,2571,3574,1665,399.25,171.75,305.5,664.25,595.5,642.75,893.5,416.25
153,104701,175.9,51.73,0.29,5160,2755,4928,11819,12806,14532,22960,14548,1496.4,798.95,1429.12,3427.51,3713.74,4214.28,6658.4,4218.92
154,104801,185.52,68.24,0.37,1454,718,1265,3190,3045,3376,5788,3308,537.98,265.66,468.05,1180.3,1126.65,1249.12,2141.56,1223.96
155,104802,295.04,159.71,0.54,3245,1698,2970,7362,7331,8291,14839,9195,1752.3,916.92,1603.8,3975.48,3958.74,4477.14,8013.06,4965.3
156,104901,103.69,45.66,0.44,3944,1800,3217,7516,7704,9227,13306,7517,1735.36,792.0,1415.48,3307.04,3389.76,4059.88,5854.64,3307.48
157,104902,202.18,73.89,0.37,4670,2371,4265,9341,8672,11133,16301,8447,1727.9,877.27,1578.05,3456.17,3208.64,4119.21,6031.37,3125.39
158,105001,332.92,214.54,0.64,7594,4065,7526,16568,13844,16162,25880,12503,4860.16,2601.6,4816.64,10603.52,8860.16,10343.68,16563.2,8001.92
