,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
94,802303,0.291,0.028,1.294,0.009,0.328,1.266,0.844,0.019,4.078
95,800901,0.321,0.01,0.772,0.016,0.007,0.706,0.396,0.0,2.227
96,800904,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.019
97,800604,0.459,0.0,2.408,0.115,0.573,4.472,1.261,0.0,9.289
98,800607,0.81,0.023,1.26,0.0,0.225,1.193,0.473,0.0,3.984
99,801608,0.067,0.0,0.806,0.034,0.436,1.645,0.369,0.0,3.357
100,801611,0.987,0.087,7.793,0.102,0.363,3.802,0.609,0.0,13.743
101,800603,0.117,0.039,0.742,0.039,0.039,1.289,0.195,0.0,2.46
102,801304,0.406,0.045,1.217,0.0,0.023,0.541,0.18,0.0,2.412
103,800905,0.072,0.01,1.235,0.051,0.154,2.15,0.195,0.021,3.889
104,801904,1.477,0.041,3.932,0.081,0.102,2.455,1.273,0.0,9.36
105,801701,0.15,0.007,0.891,0.021,0.271,1.341,0.406,0.0,3.088
106,800909,0.151,0.007,3.395,0.029,0.029,1.041,0.538,0.0,5.19
107,800611,0.411,0.028,3.008,0.057,0.057,0.695,0.355,0.0,4.611
108,801903,0.181,0.0,0.813,0.0,0.151,2.169,0.392,0.0,3.705
109,801607,0.0,0.05,2.556,0.05,0.451,3.358,0.852,0.0,7.318
110,800612,0.521,0.047,3.729,0.079,0.205,1.865,0.695,0.0,7.143
111,800613,0.7,0.0,2.179,0.0,0.238,1.796,0.673,0.013,5.598
112,801906,0.353,0.029,1.146,0.029,0.0,0.881,0.896,0.0,3.335
113,800706,0.056,0.014,2.386,0.028,0.126,1.712,0.449,0.0,4.771
114,801606,0.0,0.084,2.786,0.0,0.446,2.674,0.446,0.028,6.462
115,801601,0.123,0.009,0.898,0.019,0.047,0.388,0.123,0.0,1.607
116,800907,0.066,0.0,0.435,0.009,0.047,1.502,0.246,0.0,2.305
117,801902,0.037,0.0,0.406,0.0,0.074,0.923,0.185,0.0,1.624
118,801702,0.149,0.006,2.816,0.031,0.347,1.768,0.558,0.019,5.694
119,801603,0.373,0.039,4.539,0.077,0.129,1.414,0.72,0.013,7.304
120,801703,0.166,0.011,0.952,0.022,0.177,1.439,0.841,0.011,3.619
121,801905,0.697,0.056,2.647,0.056,0.084,2.243,1.561,0.0,7.343
122,800910,0.03,0.121,0.904,0.121,0.121,1.809,0.543,0.03,3.678
123,800908,0.12,0.04,1.777,0.007,0.053,1.069,0.474,0.007,3.548
124,800701,0.297,0.04,2.642,0.056,0.112,1.606,0.369,0.008,5.13
125,801901,2.625,0.125,8.875,0.188,0.062,6.25,6.312,0.0,24.438
126,800709,1.102,0.082,4.448,0.068,0.204,2.734,1.782,0.0,10.42
127,800704,0.054,0.054,4.467,0.04,0.161,2.234,0.444,0.013,7.468
128,801604,0.0,0.0,0.016,0.0,0.0,0.032,0.0,0.0,0.049
129,801605,0.046,0.0,0.548,0.061,0.259,1.447,0.35,0.0,2.712
130,800703,1.554,0.097,1.804,0.097,0.111,1.804,0.43,0.014,5.912
131,801704,0.039,0.0,0.85,0.013,0.34,1.059,0.261,0.013,2.576
132,801602,0.048,0.0,0.976,0.0,0.019,0.522,0.164,0.0,1.729
133,800710,0.183,0.024,0.621,0.0,0.0,0.548,0.487,0.0,1.863
134,801610,0.092,0.092,1.566,0.092,0.645,1.889,0.783,0.0,5.159
135,800705,0.734,0.058,1.719,0.087,0.029,1.41,1.091,0.0,5.127
136,800702,0.962,0.105,10.019,0.063,0.251,3.326,0.376,0.042,15.143
137,800708,0.167,0.022,0.569,0.0,0.0,0.502,0.447,0.0,1.708
138,801609,0.04,0.04,1.103,0.0,0.301,2.608,0.843,0.0,4.935
139,800711,0.092,0.061,6.805,0.046,0.076,2.172,0.306,0.0,9.558
140,800707,0.051,0.084,4.522,0.067,0.135,1.772,0.489,0.017,7.137
141,801502,0.566,0.027,7.209,0.037,0.338,2.665,0.867,0.009,11.717
142,801501,0.817,0.045,3.883,0.03,0.134,2.554,0.557,0.0,8.018
143,801409,1.167,0.027,1.538,0.009,0.136,1.194,0.253,0.009,4.333
144,801406,0.176,0.0,0.186,0.0,0.0,0.078,0.029,0.0,0.47
145,801401,1.155,0.007,1.063,0.007,0.099,1.439,0.277,0.0,4.047
146,801402,0.082,0.018,0.708,0.027,0.118,1.18,0.69,0.009,2.833
147,801408,0.035,0.0,0.654,0.0,0.053,1.043,0.442,0.018,2.245
148,801403,0.375,0.03,1.185,0.045,0.15,1.829,0.57,0.0,4.184
149,801404,1.23,0.008,1.198,0.016,0.121,1.247,0.478,0.0,4.298
150,802102,0.0,0.0,0.339,0.01,0.149,0.667,0.169,0.0,1.335
151,801407,0.348,0.037,0.796,0.025,0.075,1.02,0.286,0.0,2.588
152,800802,0.609,0.023,3.491,0.023,0.115,1.665,0.574,0.011,6.512
153,801405,2.169,0.013,1.38,0.026,0.158,1.709,0.526,0.0,5.982
154,800811,0.198,0.07,4.745,0.0,0.209,1.175,0.279,0.0,6.676
155,802101,0.941,0.024,1.406,0.012,0.049,1.027,0.379,0.0,3.838
156,800806,0.202,0.0,0.741,0.045,0.045,1.741,0.629,0.011,3.414
157,800803,0.117,0.015,0.481,0.029,0.022,1.223,0.299,0.0,2.185
158,802103,0.746,0.093,1.185,0.013,0.053,1.851,0.426,0.013,4.38
159,800502,0.473,0.2,4.329,0.073,0.182,2.91,0.582,0.036,8.785
160,800503,0.331,0.0,3.588,0.024,0.073,1.151,0.38,0.049,5.597
161,802104,1.449,0.116,2.446,0.052,0.065,2.006,0.544,0.0,6.678
162,800801,0.636,0.013,1.263,0.022,0.041,1.162,0.372,0.0,3.508
163,800809,0.256,0.043,0.696,0.028,0.014,1.576,0.511,0.0,3.123
164,800813,0.657,0.022,3.106,0.056,0.033,1.581,0.39,0.0,5.845
165,800409,0.741,0.015,3.533,0.093,0.123,1.759,0.432,0.0,6.696
166,800804,0.645,0.02,1.089,0.04,0.06,1.23,0.282,0.02,3.388
