,addrcode,Year,temperature
536,103702,2014,36.15526636904762
537,103702,2015,36.48431646825397
538,103702,2016,35.93172544642858
539,103702,2017,35.852604166666666
540,103703,2014,36.15526636904762
541,103703,2015,36.48431646825397
542,103703,2016,35.93172544642858
543,103703,2017,35.852604166666666
544,103704,2014,36.15526636904762
545,103704,2015,36.48431646825397
546,103704,2016,35.93172544642858
547,103704,2017,35.852604166666666
548,103801,2014,36.0409806547619
549,103801,2015,36.67316071428572
550,103801,2016,36.14149330357143
551,103801,2017,36.336786458333336
552,103802,2014,36.0409806547619
553,103802,2015,36.67316071428572
554,103802,2016,36.14149330357143
555,103802,2017,36.336786458333336
556,103901,2014,36.17558854166666
557,103901,2015,36.225635912698415
558,103901,2016,35.35880133928571
559,103901,2017,35.46085788690477
560,103902,2014,36.17558854166666
561,103902,2015,36.225635912698415
562,103902,2016,35.35880133928571
563,103902,2017,35.46085788690477
564,103903,2014,35.91006696428571
565,103903,2015,35.85954017857143
566,103903,2016,34.928783482142855
567,103903,2017,35.27221056547619
568,104001,2014,35.80049553571428
569,104001,2015,35.589074652777775
570,104001,2016,35.01906101190476
571,104001,2017,35.454328124999996
572,104002,2014,36.225757440476194
573,104002,2015,36.16177380952381
574,104002,2016,35.55873809523809
575,104002,2017,35.873113839285715
576,104003,2014,35.417753720238096
577,104003,2015,35.914465773809525
578,104003,2016,34.97021949404762
579,104003,2017,35.519749255952384
580,104004,2014,35.49388913690476
581,104004,2015,35.705554563492065
582,104004,2016,35.144344494047616
583,104004,2017,34.84125892857143
584,104101,2014,35.423779017857136
585,104101,2015,36.69731944444445
586,104101,2016,35.84198958333332
587,104101,2017,36.18253571428571
588,104102,2014,35.423779017857136
589,104102,2015,36.69731944444445
590,104102,2016,35.84198958333332
591,104102,2017,36.18253571428571
592,104201,2014,34.543439732142865
593,104201,2015,35.21331845238096
594,104201,2016,35.16897767857143
595,104201,2017,34.74095386904762
596,104202,2014,33.473784226190475
597,104202,2015,34.31699206349206
598,104202,2016,33.78033779761905
599,104202,2017,33.172999255952384
600,104203,2014,34.59648660714286
601,104203,2015,35.96628621031746
602,104203,2016,35.17880952380953
603,104203,2017,35.105683035714286
604,104301,2014,35.37388913690477
605,104301,2015,35.99243998015873
606,104301,2016,35.42579464285714
607,104301,2017,35.50654241071429
608,104302,2014,35.37388913690477
609,104302,2015,35.99243998015873
610,104302,2016,35.42579464285714
611,104302,2017,35.50654241071429
612,104401,2014,33.834675595238096
613,104401,2015,34.15143080357144
614,104401,2016,33.493785714285714
615,104401,2017,33.36134226190476
616,104501,2014,35.73168377976191
617,104501,2015,36.00159052579365
618,104501,2016,35.58459077380953
619,104501,2017,36.00597916666667
620,104502,2014,35.73168377976191
621,104502,2015,36.00159052579365
622,104502,2016,35.58459077380953
623,104502,2017,36.00597916666667
624,104503,2014,35.73168377976191
625,104503,2015,36.00159052579365
626,104503,2016,35.58459077380953
627,104503,2017,36.00597916666667
628,104504,2014,35.73168377976191
629,104504,2015,36.00159052579365
630,104504,2016,35.58459077380953
631,104504,2017,36.00597916666667
632,104601,2014,32.65688169642858
633,104601,2015,33.24315674603175
634,104601,2016,32.41409672619047
635,104601,2017,31.816727678571436
636,104602,2014,31.794444940476193
637,104602,2015,32.70589905753968
638,104602,2016,31.991213541666667
639,104602,2017,31.34066815476191
640,104603,2014,33.9786837797619
641,104603,2015,34.346578621031746
642,104603,2016,34.16707142857143
643,104603,2017,33.991666666666674
644,104604,2014,31.827520833333338
645,104604,2015,32.649433531746034
646,104604,2016,31.82163541666667
647,104604,2017,31.036656249999997
648,104605,2014,31.696018601190474
649,104605,2015,32.8197150297619
650,104605,2016,31.992995535714286
651,104605,2017,31.109640624999997
652,104701,2014,35.00202380952381
653,104701,2015,35.119068948412696
654,104701,2016,34.39209300595238
655,104701,2017,34.21974925595238
656,104801,2014,34.275570684523814
657,104801,2015,35.31423363095239
658,104801,2016,34.51504464285714
659,104801,2017,34.015544642857144
660,104802,2014,35.682849702380956
