,addrcode,Year,Week,temperature
2956,1015,2014,31,37.949999999999996
2957,1015,2014,32,37.62321428571429
2958,1015,2014,33,36.795357142857135
2959,1015,2014,34,36.89071428571429
2960,1015,2014,35,37.96214285714285
2961,1015,2014,36,38.212499999999984
2962,1015,2014,37,37.6175
2963,1015,2014,38,37.88999999999999
2964,1015,2014,39,39.024999999999984
2965,1015,2014,40,39.48357142857143
2966,1015,2014,41,38.31
2967,1015,2014,42,36.92714285714286
2968,1015,2014,43,36.76053571428571
2969,1015,2014,44,37.12571428571429
2970,1015,2014,45,36.543749999999996
2971,1015,2014,46,35.34
2972,1015,2014,47,34.7475
2973,1015,2014,48,34.75339285714285
2974,1015,2014,49,33.729821428571434
2975,1015,2014,50,32.14749999999999
2976,1015,2014,51,32.460357142857156
2977,1015,2014,52,33.395714285714284
2978,1015,2015,1,32.535000000000004
2979,1015,2015,2,32.86535714285714
2980,1015,2015,3,32.96982142857143
2981,1015,2015,4,33.456250000000004
2982,1015,2015,5,34.255
2983,1015,2015,6,34.82875000000001
2984,1015,2015,7,35.125
2985,1015,2015,8,35.45982142857144
2986,1015,2015,9,35.00178571428572
2987,1015,2015,10,34.29250000000001
2988,1015,2015,11,34.871785714285714
2989,1015,2015,12,36.862500000000004
2990,1015,2015,13,38.15500000000001
2991,1015,2015,14,38.07125
2992,1015,2015,15,37.79357142857143
2993,1015,2015,16,38.83410714285714
2994,1015,2015,17,40.559285714285714
2995,1015,2015,18,39.812321428571416
2996,1015,2015,19,37.69607142857143
2997,1015,2015,20,38.53625
2998,1015,2015,21,40.99500000000001
2999,1015,2015,22,41.99875000000001
3000,1015,2015,23,40.46714285714285
3001,1015,2015,24,38.52839285714287
3002,1015,2015,25,38.71285714285714
3003,1015,2015,26,39.03017857142857
3004,1015,2015,27,37.923035714285724
3005,1015,2015,28,38.3975
3006,1015,2015,29,38.99
3007,1015,2015,30,38.19875
3008,1015,2015,31,37.46410714285714
3009,1015,2015,32,38.810714285714305
3010,1015,2015,33,38.70142857142857
3011,1015,2015,34,37.290892857142865
3012,1015,2015,35,37.53785714285715
3013,1015,2015,36,38.481249999999996
3014,1015,2015,37,39.57999999999999
3015,1015,2015,38,39.80125
3016,1015,2015,39,38.50428571428571
3017,1015,2015,40,36.99732142857143
3018,1015,2015,41,36.83821428571429
3019,1015,2015,42,36.491607142857156
3020,1015,2015,43,35.56732142857141
3021,1015,2015,44,35.46999999999999
3022,1015,2015,45,36.01499999999999
3023,1015,2015,46,36.012499999999996
3024,1015,2015,47,35.20017857142857
3025,1015,2015,48,34.605535714285715
3026,1015,2015,49,33.816071428571426
3027,1015,2015,50,32.68910714285715
3028,1015,2015,51,33.04732142857143
3029,1015,2015,52,33.954285714285724
3030,1015,2015,53,34.16
3031,1015,2016,1,31.023750000000003
3032,1015,2016,2,31.110000000000007
3033,1015,2016,3,31.507499999999997
3034,1015,2016,4,32.464285714285715
3035,1015,2016,5,34.529999999999994
3036,1015,2016,6,35.74999999999999
3037,1015,2016,7,35.61982142857142
3038,1015,2016,8,35.31767857142858
3039,1015,2016,9,35.850000000000016
3040,1015,2016,10,37.56
3041,1015,2016,11,38.94375
3042,1015,2016,12,38.50857142857143
3043,1015,2016,13,37.13160714285714
3044,1015,2016,14,37.115
