,addrcode,Year,Month,temperature
548,1012,2015,9,37.11504464285715
549,1012,2015,10,35.14167857142857
550,1012,2015,11,33.56267857142857
551,1012,2015,12,31.39732142857143
552,1012,2016,1,30.405785714285713
553,1012,2016,2,32.35642857142857
554,1012,2016,3,35.258125
555,1012,2016,4,35.10992857142857
556,1012,2016,5,33.68
557,1012,2016,6,34.38607142857143
558,1012,2016,7,34.728571428571435
559,1012,2016,8,35.72625
560,1012,2016,9,34.057366071428575
561,1012,2016,10,34.713142857142856
562,1012,2016,11,32.17035714285714
563,1012,2016,12,31.888258928571425
564,1012,2017,1,31.6655
565,1012,2017,2,32.795625
566,1012,2017,3,35.035178571428574
567,1012,2017,4,36.263214285714284
568,1012,2017,5,33.707098214285715
569,1012,2017,6,34.6553125
570,1012,2017,7,34.634821428571435
571,1012,2017,8,34.96580357142857
572,1012,2017,9,34.135535714285716
573,1012,2017,10,32.91232142857143
574,1012,2017,11,31.106428571428573
575,1012,2017,12,30.60017857142857
576,1013,2014,1,32.089866071428574
577,1013,2014,2,32.31196428571429
578,1013,2014,3,35.42646428571429
579,1013,2014,4,38.390982142857155
580,1013,2014,5,39.5285
581,1013,2014,6,37.46982142857143
582,1013,2014,7,37.01446428571428
583,1013,2014,8,36.99728571428571
584,1013,2014,9,37.29790178571429
585,1013,2014,10,37.643035714285716
586,1013,2014,11,35.27239285714286
587,1013,2014,12,33.45080357142857
588,1013,2015,1,32.75294642857143
589,1013,2015,2,34.33026785714286
590,1013,2015,3,34.92794642857143
591,1013,2015,4,37.909285714285716
592,1013,2015,5,39.174285714285716
593,1013,2015,6,38.05098214285715
594,1013,2015,7,37.02491071428571
595,1013,2015,8,37.66653571428571
596,1013,2015,9,38.50669642857143
597,1013,2015,10,35.91425
598,1013,2015,11,35.65607142857143
599,1013,2015,12,32.32107142857143
600,1013,2016,1,31.576750000000004
601,1013,2016,2,33.963839285714286
602,1013,2016,3,36.801160714285714
603,1013,2016,4,37.43064285714286
604,1013,2016,5,35.16
605,1013,2016,6,35.81107142857143
606,1013,2016,7,37.55171428571428
607,1013,2016,8,35.770714285714284
608,1013,2016,9,36.30285714285714
609,1013,2016,10,35.82935714285715
610,1013,2016,11,33.316651785714285
611,1013,2016,12,32.48919642857143
612,1013,2017,1,33.18785714285714
613,1013,2017,2,34.89892857142858
614,1013,2017,3,37.465178571428574
615,1013,2017,4,38.03989285714286
616,1013,2017,5,35.848035714285714
617,1013,2017,6,37.18245535714286
618,1013,2017,7,36.040000000000006
619,1013,2017,8,37.254419642857144
620,1013,2017,9,36.50703571428571
621,1013,2017,10,34.57401785714286
622,1013,2017,11,32.78133928571428
623,1013,2017,12,31.42267857142857
624,1014,2014,1,32.75772321428572
625,1014,2014,2,33.66183035714286
626,1014,2014,3,36.53357142857143
627,1014,2014,4,38.760535714285716
628,1014,2014,5,38.297999999999995
629,1014,2014,6,39.024910714285724
630,1014,2014,7,37.026875
631,1014,2014,8,34.52028571428571
632,1014,2014,9,37.18066964285714
633,1014,2014,10,37.96151785714285
634,1014,2014,11,35.23107142857143
635,1014,2014,12,32.90620535714285
636,1014,2015,1,33.50985119047619
637,1014,2015,2,35.19401785714286
638,1014,2015,3,36.21026785714285
639,1014,2015,4,38.728125000000006
640,1014,2015,5,38.839107142857145
641,1014,2015,6,38.480580357142856
642,1014,2015,7,36.83776785714286
643,1014,2015,8,37.79685714285715
644,1014,2015,9,38.96183035714286
645,1014,2015,10,35.629821428571425
646,1014,2015,11,34.39151785714286
647,1014,2015,12,33.232053571428565
648,1014,2016,1,31.991892857142858
649,1014,2016,2,34.99883928571428
650,1014,2016,3,37.57517857142858
651,1014,2016,4,38.115857142857145
652,1014,2016,5,35.92000000000001
653,1014,2016,6,36.50803571428572
654,1014,2016,7,38.05942857142857
655,1014,2016,8,36.62910714285715
656,1014,2016,9,37.230892857142855
657,1014,2016,10,36.48142857142858
658,1014,2016,11,34.07504464285715
659,1014,2016,12,33.595000000000006
660,1014,2017,1,34.192571428571426
661,1014,2017,2,35.786071428571425
662,1014,2017,3,37.97732142857143
663,1014,2017,4,37.848107142857145
664,1014,2017,5,36.0340625
665,1014,2017,6,37.15419642857143
666,1014,2017,7,36.60860714285714
667,1014,2017,8,35.8078125
668,1014,2017,9,37.46714285714286
669,1014,2017,10,35.39785714285714
670,1014,2017,11,33.83464285714286
671,1014,2017,12,32.12285714285714
672,1015,2014,1,32.55397321428572
673,1015,2014,2,32.90772321428572
674,1015,2014,3,36.16321428571429
675,1015,2014,4,39.299464285714286
676,1015,2014,5,41.12914285714287
677,1015,2014,6,38.31196428571428
678,1015,2014,7,37.53678571428571
679,1015,2014,8,37.44428571428572
680,1015,2014,9,38.18624999999999
681,1015,2014,10,37.8703125
682,1015,2014,11,35.702071428571436
683,1015,2014,12,32.93334821428572
684,1015,2015,1,33.37357142857143
685,1015,2015,2,35.103839285714294
686,1015,2015,3,36.04544642857143
687,1015,2015,4,38.814553571428576
688,1015,2015,5,39.80767857142857
689,1015,2015,6,39.184642857142855
690,1015,2015,7,38.37732142857143
691,1015,2015,8,37.961000000000006
692,1015,2015,9,39.09169642857143
693,1015,2015,10,36.27289285714286
694,1015,2015,11,35.45830357142857
695,1015,2015,12,33.376696428571435
696,1015,2016,1,32.12710714285715
697,1015,2016,2,35.634375000000006
698,1015,2016,3,38.035982142857144
699,1015,2016,4,38.38678571428572
700,1015,2016,5,36.03
701,1015,2016,6,36.73982142857143
702,1015,2016,7,37.976000000000006
703,1015,2016,8,36.63053571428572
704,1015,2016,9,37.49339285714285
705,1015,2016,10,36.30703571428572
706,1015,2016,11,34.3965625
707,1015,2016,12,32.87334821428571
708,1015,2017,1,33.66364285714286
709,1015,2017,2,35.56633928571429
710,1015,2017,3,38.043839285714284
711,1015,2017,4,38.074642857142855
712,1015,2017,5,36.179375
713,1015,2017,6,37.333839285714284
714,1015,2017,7,36.5295
715,1015,2017,8,38.03709821428571
716,1015,2017,9,37.022535714285716
717,1015,2017,10,34.985446428571436
718,1015,2017,11,33.601875
719,1015,2017,12,32.004821428571425
720,1016,2014,1,32.55397321428572
721,1016,2014,2,32.90772321428571
722,1016,2014,3,36.16321428571429
723,1016,2014,4,39.299464285714286
724,1016,2014,5,41.12914285714286
725,1016,2014,6,38.31196428571428
726,1016,2014,7,37.53678571428571
727,1016,2014,8,37.44428571428572
728,1016,2014,9,38.186249999999994
729,1016,2014,10,37.8703125
730,1016,2014,11,35.702071428571436
731,1016,2014,12,32.933348214285715
732,1016,2015,1,33.373571428571424
733,1016,2015,2,35.10383928571429
734,1016,2015,3,36.04544642857143
735,1016,2015,4,38.814553571428576
736,1016,2015,5,39.807678571428575
737,1016,2015,6,39.184642857142855
738,1016,2015,7,38.37732142857143
739,1016,2015,8,37.961000000000006
740,1016,2015,9,39.09169642857143
741,1016,2015,10,36.27289285714286
742,1016,2015,11,35.45830357142857
743,1016,2015,12,33.37669642857142
744,1016,2016,1,32.12710714285714
745,1016,2016,2,35.634375
746,1016,2016,3,38.035982142857144
747,1016,2016,4,38.38678571428572
748,1016,2016,5,36.03
749,1016,2016,6,36.73982142857143
750,1016,2016,7,37.976
751,1016,2016,8,36.63053571428572
752,1016,2016,9,37.49339285714285
753,1016,2016,10,36.30703571428572
754,1016,2016,11,34.3965625
755,1016,2016,12,32.87334821428571
756,1016,2017,1,33.66364285714286
757,1016,2017,2,35.56633928571429
758,1016,2017,3,38.043839285714284
759,1016,2017,4,38.074642857142855
760,1016,2017,5,36.179375
761,1016,2017,6,37.333839285714284
762,1016,2017,7,36.5295
763,1016,2017,8,38.037098214285706
764,1016,2017,9,37.02253571428571
765,1016,2017,10,34.98544642857143
766,1016,2017,11,33.601875
767,1016,2017,12,32.00482142857143
768,1017,2014,1,32.420625
769,1017,2014,2,33.38200892857142
770,1017,2014,3,36.196464285714285
771,1017,2014,4,38.55803571428572
772,1017,2014,5,38.71414285714286
773,1017,2014,6,38.673839285714294
774,1017,2014,7,36.90598214285714
775,1017,2014,8,34.472571428571435
776,1017,2014,9,37.09955357142857
777,1017,2014,10,37.589687500000004
778,1017,2014,11,35.682678571428575
779,1017,2014,12,32.72741071428572
780,1017,2015,1,33.10494047619048
781,1017,2015,2,34.764375
782,1017,2015,3,35.70241071428572
783,1017,2015,4,38.46142857142857
784,1017,2015,5,38.30507142857143
