,code,Year,DF,Season,MIN_LST,MAX_LST,AVG_LST,AVG_RF,SUM_RF,Population,Bin,Bowl,Bucket,Misc_Short,Jar,Pottedplant,Tire,Misc_Tall,Total
793,A3903,2015,58,False,32.057410714285716,37.49205357142857,34.35610119047619,6.526944444444443,39.16166666666666,22060,129,24,358,21,15,644,81,4,1276
794,A3903,2016,22,True,34.9,36.67714285714286,35.6013943452381,65.058,1678.31,22060,129,24,358,21,15,644,81,4,1276
795,A3903,2016,32,False,31.447607142857148,36.82871428571429,34.256172619047625,10.860916666666666,65.1655,22060,129,24,358,21,15,644,81,4,1276
796,A3903,2017,35,True,34.97678571428571,37.75861607142858,36.2925193452381,35.411833333333334,920.61,22060,129,24,358,21,15,644,81,4,1276
797,A3903,2017,21,False,30.702857142857145,37.14992857142858,34.25190178571429,16.254833333333334,97.529,22060,129,24,358,21,15,644,81,4,1276
798,A4001,2015,133,True,35.35725000000001,37.569375,36.960450892857146,59.12450000000001,1556.94,39171,153,26,1129,30,62,1803,195,7,3405
799,A4001,2015,104,False,32.45404761904762,36.59642857142858,34.21769841269842,7.427499999999999,44.565,39171,153,26,1129,30,62,1803,195,7,3405
800,A4001,2016,10,True,35.01,35.96071428571429,35.460630952380946,63.09466666666666,1632.57,39171,153,26,1129,30,62,1803,195,7,3405
801,A4001,2016,74,False,32.21317857142858,37.55614285714286,34.577491071428575,11.535000000000002,69.21000000000001,39171,153,26,1129,30,62,1803,195,7,3405
802,A4001,2017,71,True,34.7546875,36.6453125,35.970266369047614,37.08258333333333,955.6500000000001,39171,153,26,1129,30,62,1803,195,7,3405
803,A4001,2017,15,False,32.816428571428574,37.77517857142857,34.93838988095238,22.21575,133.2945,39171,153,26,1129,30,62,1803,195,7,3405
804,A4003,2015,51,True,36.34189285714287,38.45191964285714,37.35187797619048,55.08608333333333,1446.0299999999997,40069,230,25,889,16,90,1241,170,7,2668
805,A4003,2015,37,False,32.77267857142858,36.549464285714286,34.47705357142857,4.935833333333333,29.615,40069,230,25,889,16,90,1241,170,7,2668
806,A4003,2016,7,True,34.94,35.61357142857142,35.26169047619047,61.93666666666666,1599.26,40069,230,25,889,16,90,1241,170,7,2668
807,A4003,2016,37,False,32.00514285714286,37.87042857142858,34.678748511904764,11.83075,70.9845,40069,230,25,889,16,90,1241,170,7,2668
808,A4003,2017,32,True,34.99035714285714,37.56625,36.05661755952381,33.702333333333335,876.0,40069,230,25,889,16,90,1241,170,7,2668
809,A4003,2017,21,False,30.81232142857143,38.61378571428572,34.98288095238096,14.912666666666665,89.47599999999998,40069,230,25,889,16,90,1241,170,7,2668
810,A4004,2015,86,True,36.20171428571429,38.035669642857144,37.22083630952381,56.50008333333334,1490.17,52012,15,0,31,2,1,66,26,0,141
