,addrcode,Year,Month,Cases
795,100203,2017,4,0
796,100203,2017,5,0
797,100203,2017,6,0
798,100203,2017,7,2
799,100203,2017,8,0
800,100203,2017,9,1
801,100203,2017,10,2
802,100203,2017,11,1
803,100203,2017,12,0
804,100203,2018,1,0
805,100203,2018,2,0
806,100203,2018,3,0
807,100203,2018,4,0
808,100203,2018,5,0
809,100203,2018,6,0
810,100204,2014,1,2
811,100204,2014,2,1
812,100204,2014,3,2
813,100204,2014,4,0
814,100204,2014,5,0
815,100204,2014,6,0
816,100204,2014,7,0
817,100204,2014,8,3
818,100204,2014,9,0
819,100204,2014,10,1
820,100204,2014,11,6
821,100204,2014,12,1
822,100204,2015,1,2
823,100204,2015,2,0
824,100204,2015,3,0
825,100204,2015,4,0
826,100204,2015,5,1
827,100204,2015,6,0
828,100204,2015,7,0
829,100204,2015,8,1
830,100204,2015,9,1
831,100204,2015,10,4
832,100204,2015,11,6
833,100204,2015,12,2
834,100204,2016,1,3
835,100204,2016,2,0
836,100204,2016,3,2
837,100204,2016,4,0
838,100204,2016,5,0
839,100204,2016,6,0
840,100204,2016,7,0
841,100204,2016,8,0
842,100204,2016,9,0
843,100204,2016,10,3
844,100204,2016,11,2
845,100204,2016,12,0
846,100204,2017,1,0
847,100204,2017,2,0
848,100204,2017,3,0
849,100204,2017,4,0
850,100204,2017,5,1
851,100204,2017,6,8
852,100204,2017,7,15
853,100204,2017,8,8
854,100204,2017,9,7
855,100204,2017,10,1
856,100204,2017,11,2
857,100204,2017,12,1
858,100204,2018,1,0
859,100204,2018,2,2
860,100204,2018,3,2
861,100204,2018,4,0
862,100204,2018,5,0
863,100204,2018,6,0
864,100301,2014,1,3
865,100301,2014,2,1
866,100301,2014,3,3
867,100301,2014,4,0
868,100301,2014,5,2
869,100301,2014,6,2
870,100301,2014,7,0
871,100301,2014,8,3
872,100301,2014,9,0
873,100301,2014,10,4
874,100301,2014,11,5
875,100301,2014,12,5
876,100301,2015,1,2
877,100301,2015,2,1
