,code,Year,DF,Season,MIN_LST,MAX_LST,AVG_LST,AVG_RF,SUM_RF,Population,Bin,Bowl,Bucket,Misc_Short,Jar,Pottedplant,Tire,Misc_Tall,Total
348,B0708,2015,3,True,27.696160714285718,30.18175,29.120709821428576,68.55525,1773.4099999999999,8958,15,2,51,0,0,45,40,0,153
349,B0708,2015,0,False,28.383482142857147,33.472589285714285,30.626243055555562,24.252916666666664,145.51749999999998,8958,15,2,51,0,0,45,40,0,153
350,B0708,2016,1,True,27.8984375,31.958660714285717,30.00752976190476,76.58525,1924.43,8958,15,2,51,0,0,45,40,0,153
351,B0708,2016,1,False,27.7690625,32.520714285714284,30.625522321428573,61.32908333333333,367.9745,8958,15,2,51,0,0,45,40,0,153
352,B0708,2017,8,True,28.519910714285718,30.122767857142854,29.24944494047619,50.56008333333333,1292.9,8958,15,2,51,0,0,45,40,0,153
353,B0708,2017,3,False,27.06946428571429,30.412142857142854,28.915586309523814,31.137083333333333,186.8225,8958,15,2,51,0,0,45,40,0,153
354,B0709,2015,11,True,27.786160714285717,30.94049107142857,29.549967261904765,64.104,1641.73,7351,81,6,327,5,15,201,131,0,766
355,B0709,2015,4,False,27.652827380952388,34.277232142857144,30.87775992063492,26.693388888888887,160.1603333333333,7351,81,6,327,5,15,201,131,0,766
356,B0709,2016,6,True,27.28160714285714,30.83549107142857,28.729625,72.48541666666667,1828.9,7351,81,6,327,5,15,201,131,0,766
357,B0709,2016,3,False,29.0025,32.99535714285714,31.110339285714286,61.686333333333344,370.11800000000005,7351,81,6,327,5,15,201,131,0,766
358,B0709,2017,5,True,27.514285714285712,29.717276785714287,28.632895833333333,47.879416666666664,1217.26,7351,81,6,327,5,15,201,131,0,766
359,B0709,2017,3,False,26.70000000000001,30.43767857142857,28.553443452380957,32.84891666666666,197.09349999999998,7351,81,6,327,5,15,201,131,0,766
360,B0710,2015,14,True,27.28542857142857,30.30017857142857,29.030540178571428,65.32433333333333,1682.86,8213,15,2,51,0,0,45,40,0,153
361,B0710,2015,3,False,27.257232142857145,32.78919642857142,30.02083928571429,22.802555555555557,136.81533333333334,8213,15,2,51,0,0,45,40,0,153
362,B0710,2016,5,True,27.18794642857143,29.723482142857147,28.32259375,73.38141666666667,1844.6,8213,15,2,51,0,0,45,40,0,153
363,B0710,2016,1,False,28.974598214285717,31.85442857142857,30.569793154761907,55.05391666666667,330.3235,8213,15,2,51,0,0,45,40,0,153
364,B0710,2017,5,True,25.48392857142857,29.32392857142857,27.91590476190476,48.190416666666664,1233.2400000000002,8213,15,2,51,0,0,45,40,0,153
365,B0710,2017,2,False,27.084642857142857,29.98348214285714,28.491071428571434,31.18325,187.0995,8213,15,2,51,0,0,45,40,0,153
366,B0711,2015,3,True,28.496517857142855,30.9553125,29.96968452380953,74.77108333333334,1938.01,6539,6,4,445,3,5,142,20,0,625
367,B0711,2015,2,False,27.78205357142857,33.287142857142854,30.60566071428572,30.809777777777782,184.8586666666667,6539,6,4,445,3,5,142,20,0,625
368,B0711,2016,7,True,29.63678571428572,31.61660714285714,30.592157738095235,90.10133333333333,2267.24,6539,6,4,445,3,5,142,20,0,625
369,B0711,2016,1,False,28.558482142857148,32.769553571428574,31.016044642857143,65.71708333333333,394.3025,6539,6,4,445,3,5,142,20,0,625
370,B0711,2017,3,True,29.15125,30.739821428571428,29.93617410714286,54.41241666666667,1380.45,6539,6,4,445,3,5,142,20,0,625
371,B0711,2017,2,False,27.721964285714282,31.38303571428571,29.519738095238093,36.80291666666667,220.8175,6539,6,4,445,3,5,142,20,0,625
372,B0801,2015,11,True,26.824910714285718,32.29008928571428,30.338687500000002,60.26583333333334,1534.12,31759,202,4,401,7,13,369,118,0,1114
373,B0801,2015,8,False,27.99294642857143,34.540892857142865,31.488004960317465,28.149,168.894,31759,202,4,401,7,13,369,118,0,1114
374,B0801,2016,14,True,26.102589285714288,31.251517857142854,29.241761904761905,64.00333333333333,1628.9499999999998,31759,202,4,401,7,13,369,118,0,1114
375,B0801,2016,8,False,26.47575892857143,33.898,30.960471726190477,67.40558333333334,404.43350000000004,31759,202,4,401,7,13,369,118,0,1114
376,B0801,2017,14,True,27.43607142857143,30.85169642857143,29.40472916666667,47.06308333333334,1184.3899999999999,31759,202,4,401,7,13,369,118,0,1114
377,B0801,2017,16,False,27.002142857142854,30.868464285714282,29.041630952380952,29.09466666666667,174.568,31759,202,4,401,7,13,369,118,0,1114
378,B0802,2015,9,True,26.237410714285716,30.346339285714286,28.75909375,59.72008333333334,1524.0100000000002,8707,53,2,304,2,10,145,50,1,567
379,B0802,2015,11,False,26.756517857142853,31.439464285714283,29.411392857142857,28.25986111111111,169.55916666666667,8707,53,2,304,2,10,145,50,1,567
380,B0802,2016,1,True,25.542410714285715,28.689035714285716,27.151465773809523,58.739666666666665,1497.6799999999998,8707,53,2,304,2,10,145,50,1,567
381,B0802,2016,1,False,26.11330357142857,31.021142857142852,28.705407738095236,69.88066666666667,419.284,8707,53,2,304,2,10,145,50,1,567
382,B0802,2017,1,True,24.959642857142853,30.058785714285715,27.832124999999994,46.21383333333333,1163.7200000000003,8707,53,2,304,2,10,145,50,1,567
383,B0802,2017,3,False,25.02507142857143,29.879330357142855,27.570745535714284,31.50725,189.0435,8707,53,2,304,2,10,145,50,1,567
384,B0803,2015,11,True,26.59794642857143,31.261464285714286,29.585181547619047,62.81300000000001,1598.09,13733,16,2,66,4,3,168,41,0,300
385,B0803,2015,9,False,26.37508928571428,33.11732142857142,30.34367261904762,27.4635,164.781,13733,16,2,66,4,3,168,41,0,300
386,B0803,2016,4,True,27.447098214285717,29.869375,28.70361755952381,58.35208333333335,1483.5600000000002,13733,16,2,66,4,3,168,41,0,300
387,B0803,2016,6,False,26.54174107142857,32.56921428571429,30.31099851190476,65.56616666666666,393.397,13733,16,2,66,4,3,168,41,0,300
388,B0803,2017,11,True,26.767142857142854,29.70334821428571,28.91526488095238,43.71641666666667,1100.84,13733,16,2,66,4,3,168,41,0,300
389,B0803,2017,11,False,26.573071428571428,31.099553571428572,28.3607619047619,28.822999999999997,172.938,13733,16,2,66,4,3,168,41,0,300
390,B0804,2015,6,True,27.00705357142857,30.946026785714288,29.954328869047618,62.12083333333334,1579.48,4959,32,1,54,2,3,61,14,1,168
391,B0804,2015,2,False,26.75383928571428,35.60169642857143,31.453331349206348,28.4085,170.451,4959,32,1,54,2,3,61,14,1,168
392,B0804,2016,3,True,26.90888392857143,32.222678571428574,29.42007589285714,59.225666666666676,1502.13,4959,32,1,54,2,3,61,14,1,168
393,B0804,2016,3,False,27.985625,32.628035714285716,30.906321428571427,64.49233333333335,386.95400000000006,4959,32,1,54,2,3,61,14,1,168
394,B0804,2017,2,True,27.129910714285717,30.38246428571428,28.904831845238093,45.590250000000005,1146.7900000000002,4959,32,1,54,2,3,61,14,1,168
395,B0804,2017,3,False,24.991857142857143,30.242642857142858,28.170630952380957,30.42358333333333,182.54149999999998,4959,32,1,54,2,3,61,14,1,168
396,B0806,2015,4,True,28.34767857142857,30.455401785714287,29.38138095238095,62.81300000000001,1598.09,8905,18,0,66,4,4,155,56,1,304
397,B0806,2015,7,False,27.08535714285714,31.750357142857148,29.960087301587304,27.4635,164.781,8905,18,0,66,4,4,155,56,1,304
398,B0806,2016,6,True,27.21473214285714,31.87517857142857,29.3702306547619,58.35208333333333,1483.56,8905,18,0,66,4,4,155,56,1,304
399,B0806,2016,2,False,28.66035714285714,31.632142857142853,30.41528273809524,65.56616666666667,393.39700000000005,8905,18,0,66,4,4,155,56,1,304
400,B0806,2017,5,True,28.42553571428571,30.5609375,29.66148363095238,43.71641666666667,1100.84,8905,18,0,66,4,4,155,56,1,304
401,B0806,2017,6,False,27.92664285714286,29.87375,29.058421130952382,28.822999999999997,172.938,8905,18,0,66,4,4,155,56,1,304
402,B0807,2015,19,True,28.596517857142853,30.83332142857143,30.100330357142862,65.77808333333333,1668.9900000000002,14302,38,2,184,1,1,147,32,1,406
403,B0807,2015,7,False,25.705386904761905,32.49955357142857,29.613180555555555,29.02263888888889,174.13583333333332,14302,38,2,184,1,1,147,32,1,406
404,B0807,2016,9,True,27.483857142857147,29.939196428571428,28.520715773809528,63.09591666666666,1598.1599999999999,14302,38,2,184,1,1,147,32,1,406
405,B0807,2016,1,False,28.73935714285714,32.633928571428584,30.702377976190476,67.93375,407.6025,14302,38,2,184,1,1,147,32,1,406
406,B0807,2017,8,True,27.66446428571428,29.653714285714287,28.979818452380954,50.55724999999999,1274.12,14302,38,2,184,1,1,147,32,1,406
407,B0807,2017,8,False,26.339285714285715,29.51403571428572,28.16354761904762,31.745166666666666,190.471,14302,38,2,184,1,1,147,32,1,406
408,B0809,2015,6,True,27.280982142857145,32.45285714285715,30.520994047619045,62.12083333333334,1579.48,7044,18,3,49,2,1,111,36,0,220
409,B0809,2015,2,False,27.70419642857143,35.24991071428571,31.73400396825397,28.4085,170.451,7044,18,3,49,2,1,111,36,0,220
410,B0809,2016,7,True,27.476785714285718,31.162410714285716,29.396459821428575,59.225666666666676,1502.13,7044,18,3,49,2,1,111,36,0,220
411,B0809,2016,2,False,27.072321428571428,34.21678571428571,31.27117261904762,64.49233333333335,386.95400000000006,7044,18,3,49,2,1,111,36,0,220
412,B0809,2017,5,True,27.10535714285714,30.601517857142863,29.237401785714287,45.590250000000005,1146.7900000000002,7044,18,3,49,2,1,111,36,0,220
413,B0809,2017,12,False,27.019714285714286,30.484714285714286,28.578974702380957,30.42358333333333,182.54149999999998,7044,18,3,49,2,1,111,36,0,220
414,B0810,2015,10,True,28.481160714285718,31.08192857142857,30.24940773809524,65.77808333333333,1668.9900000000002,5094,15,0,34,0,0,103,16,1,169
415,B0810,2015,4,False,26.04580357142857,33.050267857142856,30.310567460317458,29.02263888888889,174.13583333333332,5094,15,0,34,0,0,103,16,1,169
416,B0810,2016,7,True,27.17442857142857,30.792767857142852,28.88892857142857,63.09591666666666,1598.1599999999999,5094,15,0,34,0,0,103,16,1,169
417,B0810,2016,1,False,29.0085,32.864357142857145,31.0494494047619,67.93375,407.6025,5094,15,0,34,0,0,103,16,1,169
418,B0810,2017,4,True,27.87830357142857,29.877035714285718,29.16409523809524,50.55724999999999,1274.12,5094,15,0,34,0,0,103,16,1,169
419,B0810,2017,5,False,26.49517857142857,29.737571428571428,28.35387648809524,31.745166666666666,190.471,5094,15,0,34,0,0,103,16,1,169
420,B0811,2015,11,True,25.939553571428576,29.496107142857145,28.72792708333333,62.81300000000001,1598.09,8598,17,6,408,0,18,101,24,0,574
421,B0811,2015,2,False,26.117410714285718,31.093035714285715,29.10414781746032,27.4635,164.781,8598,17,6,408,0,18,101,24,0,574
422,B0811,2016,4,True,25.837232142857147,29.103794642857146,27.568394345238094,58.35208333333333,1483.56,8598,17,6,408,0,18,101,24,0,574
423,B0811,2016,0,False,25.946160714285718,31.079785714285716,29.061553571428576,65.56616666666667,393.39700000000005,8598,17,6,408,0,18,101,24,0,574
424,B0811,2017,4,True,27.106160714285718,29.543642857142853,28.392546130952383,43.71641666666667,1100.84,8598,17,6,408,0,18,101,24,0,574
425,B0811,2017,2,False,25.68207142857143,30.206473214285715,28.280141369047623,28.822999999999997,172.938,8598,17,6,408,0,18,101,24,0,574
426,B0813,2015,20,True,27.18642857142857,32.021383928571424,30.480394345238093,60.26583333333334,1534.1200000000001,8982,59,2,279,5,3,142,35,0,525
427,B0813,2015,4,False,26.536250000000006,33.920178571428565,30.682628968253965,28.149,168.894,8982,59,2,279,5,3,142,35,0,525
428,B0813,2016,12,True,25.670035714285717,31.28919642857143,28.78687351190476,64.00333333333333,1628.9500000000003,8982,59,2,279,5,3,142,35,0,525
429,B0813,2016,2,False,27.292187500000004,32.55642857142857,30.232858630952382,67.40558333333334,404.43350000000004,8982,59,2,279,5,3,142,35,0,525
430,B0813,2017,5,True,27.12419642857143,30.342214285714284,28.643790178571425,47.06308333333333,1184.3899999999999,8982,59,2,279,5,3,142,35,0,525
431,B0813,2017,5,False,25.365857142857145,29.299142857142854,27.45136904761905,29.09466666666667,174.568,8982,59,2,279,5,3,142,35,0,525
432,B0901,2015,18,True,29.505714285714284,31.390625,30.589863095238098,65.78341666666667,1683.7400000000002,30575,98,3,236,5,2,216,121,0,681
