TB_IDN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
800807,64,2,0.005,15260,15400,140,15330.0,70.0,30660.0,2,15260,15260,15260
800204,65,3,0.0075,15031,15270,239,15179.3333333,105.74917914,45538.0,3,15031,15031,15237
800501,66,2,0.005,14952,14961,9,14956.5,4.5,29913.0,2,14952,14952,14952
800120,67,3,0.0075,15256,15429,173,15364.0,76.8938662487,46092.0,3,15256,15256,15407
810301,68,2,0.005,14922,14968,46,14945.0,23.0,29890.0,2,14922,14922,14922
810603,69,3,0.0075,15127,15224,97,15159.3333333,45.7262385166,45478.0,2,15127,15224,15127
800201,70,2,0.005,15127,15197,70,15162.0,35.0,30324.0,2,15127,15127,15127
800205,71,1,0.0025,15392,15392,0,15392.0,0.0,15392.0,1,15392,15392,15392
800403,72,5,0.0125,14501,15297,796,14954.2,276.971045418,74771.0,5,14501,14501,15051
801209,73,1,0.0025,15140,15140,0,15140.0,0.0,15140.0,1,15140,15140,15140
800116,74,3,0.0075,15263,15474,211,15339.0,95.7113716685,46017.0,3,15263,15263,15280
801803,75,3,0.0075,15322,15373,51,15355.3333333,23.5843639348,46066.0,3,15322,15322,15371
800410,76,1,0.0025,15297,15297,0,15297.0,0.0,15297.0,1,15297,15297,15297
800406,77,2,0.005,15216,15239,23,15227.5,11.5,30455.0,2,15216,15216,15216
800505,78,2,0.005,15149,15180,31,15164.5,15.5,30329.0,2,15149,15149,15149
800504,79,2,0.005,15114,15314,200,15214.0,100.0,30428.0,2,15114,15114,15114
800121,80,3,0.0075,15219,15496,277,15354.6666667,113.155743214,46064.0,3,15219,15219,15349
801802,81,2,0.005,15250,15261,11,15255.5,5.5,30511.0,2,15250,15250,15250
800203,82,1,0.0025,15275,15275,0,15275.0,0.0,15275.0,1,15275,15275,15275
800404,83,1,0.0025,15185,15185,0,15185.0,0.0,15185.0,1,15185,15185,15185
800202,84,1,0.0025,15253,15253,0,15253.0,0.0,15253.0,1,15253,15253,15253
800806,85,1,0.0025,15309,15309,0,15309.0,0.0,15309.0,1,15309,15309,15309
802101,86,3,0.0075,14959,15197,238,15117.6666667,112.194275948,45353.0,2,15197,14959,15197
802103,87,2,0.005,15307,15309,2,15308.0,1.0,30616.0,2,15307,15307,15307
800803,88,3,0.0075,15345,15499,154,15409.3333333,65.3724372771,46228.0,3,15345,15345,15384
800503,89,6,0.015,15008,15230,222,15117.0,67.0596749172,90702.0,6,15008,15008,15098
800502,90,3,0.0075,15068,15187,119,15115.6666667,51.3830927665,45347.0,3,15068,15068,15092
800801,91,1,0.0025,15435,15435,0,15435.0,0.0,15435.0,1,15435,15435,15435
802104,92,5,0.0125,15000,15283,283,15190.8,102.628261215,75954.0,5,15000,15000,15222
801403,93,2,0.005,15282,15331,49,15306.5,24.5,30613.0,2,15282,15282,15282
801408,94,4,0.01,15145,15211,66,15176.5,26.6223590239,60706.0,4,15145,15145,15157
802102,95,16,0.04,15015,15224,209,15121.375,67.643250772,241942.0,16,15015,15015,15146
801404,96,1,0.0025,15228,15228,0,15228.0,0.0,15228.0,1,15228,15228,15228
800802,97,1,0.0025,15331,15331,0,15331.0,0.0,15331.0,1,15331,15331,15331
801407,98,3,0.0075,15088,15286,198,15190.6666667,80.9993141262,45572.0,3,15088,15088,15198
800811,99,3,0.0075,15113,15348,235,15269.0,110.311679648,45807.0,3,15113,15113,15346
801405,100,2,0.005,15158,15377,219,15267.5,109.5,30535.0,2,15158,15158,15158
800813,101,2,0.005,15258,15457,199,15357.5,99.5,30715.0,2,15258,15258,15258
