"","TAM_NAME","Year","Week","Humidity","Rainfall","Temperature","Wind_Speed"
"190","นาเรียง","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"191","ท่าซัก","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"192","ท่างิ้ว","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"193","นาทราย","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"194","นาเคียน","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"195","กำโลน","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"196","โพธิ์เสด็จ","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"197","กำแพงเซา","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"198","ท่าดี","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"199","เขาแก้ว","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"200","ลานสกา","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"201","ท้องเนียน","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"202","ควนทอง","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"203","ขนอม","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"204","สิชล","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"205","สี่ขีด","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"206","ทุ่งปรัง","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"207","เขาน้อย","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"208","ฉลอง","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"209","เสาเภา","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"210","เทพราช","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"211","เปลี่ยน","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"212","กราย","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"213","ตลิ่งชัน","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"214","สระแก้ว","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"215","นบพิตำ","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"216","ท่าขึ้น","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"217","นาเหรง","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"218","กะหรอ","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"219","ไทยบุรี","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"220","ท่าศาลา","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"221","หัวตะพาน","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"222","โพธิ์ทอง","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"223","โมคลาน","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"224","ทอนหงส์","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"225","ปากพูน","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"226","ดอนตะโก","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"227","อินคีรี","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"228","บ้านเกาะ","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"229","พรหมโลก","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"230","นาเรียง","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"231","ท่าซัก","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"232","ท่างิ้ว","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"233","นาทราย","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"234","นาเคียน","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"235","กำโลน","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"236","โพธิ์เสด็จ","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"237","กำแพงเซา","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"238","ท่าดี","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"239","เขาแก้ว","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"240","ลานสกา","2016",40,82.7142857142857,0.3,27.9571428571429,15.1428571428571
"241","ท้องเนียน","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"242","ควนทอง","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"243","ขนอม","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"244","สิชล","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"245","สี่ขีด","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"246","ทุ่งปรัง","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"247","เขาน้อย","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"248","ฉลอง","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"249","เสาเภา","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"250","เทพราช","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"251","เปลี่ยน","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"252","กราย","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"253","ตลิ่งชัน","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"254","สระแก้ว","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"255","นบพิตำ","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"256","ท่าขึ้น","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"257","นาเหรง","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"258","กะหรอ","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"259","ไทยบุรี","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"260","ท่าศาลา","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"261","หัวตะพาน","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"262","โพธิ์ทอง","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"263","โมคลาน","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"264","ทอนหงส์","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"265","ปากพูน","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"266","ดอนตะโก","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"267","อินคีรี","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"268","บ้านเกาะ","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"269","พรหมโลก","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"270","นาเรียง","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"271","ท่าซัก","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"272","ท่างิ้ว","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"273","นาทราย","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"274","นาเคียน","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"275","กำโลน","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"276","โพธิ์เสด็จ","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"277","กำแพงเซา","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"278","ท่าดี","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"279","เขาแก้ว","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"280","ลานสกา","2017",40,86.2857142857143,2.62857142857143,27.3142857142857,0
"281","ท้องเนียน","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"282","ควนทอง","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"283","ขนอม","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"284","สิชล","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"285","สี่ขีด","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"286","ทุ่งปรัง","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"287","เขาน้อย","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
