"","Station_Code","Date","Location","Province","Humidity","Rainfall","Temperature","Wind_Speed","Year"
"124",552201,"12/1/2017","นครศรีธรรมราช","นครศรีธรรมราช",87,15.3,26.7,11,"2017"
"125",552201,"12/1/2018","นครศรีธรรมราช","นครศรีธรรมราช",89,4.4,25.2,18,"2018"
"126",552201,"12/10/2015","นครศรีธรรมราช","นครศรีธรรมราช",84,0,27.5,10,"2015"
"127",552201,"12/10/2016","นครศรีธรรมราช","นครศรีธรรมราช",84,5.7,27.7,20,"2016"
"128",552201,"12/10/2017","นครศรีธรรมราช","นครศรีธรรมราช",86,10.3,27.4,NA,"2017"
"129",552201,"12/11/2015","นครศรีธรรมราช","นครศรีธรรมราช",93,16.5,26.3,14,"2015"
"130",552201,"12/11/2016","นครศรีธรรมราช","นครศรีธรรมราช",89,5.8,27,15,"2016"
"131",552201,"12/11/2017","นครศรีธรรมราช","นครศรีธรรมราช",91,0.5,26.3,NA,"2017"
"132",552201,"12/12/2015","นครศรีธรรมราช","นครศรีธรรมราช",86,0,27.9,14,"2015"
"133",552201,"12/12/2016","นครศรีธรรมราช","นครศรีธรรมราช",83,0,26.8,9,"2016"
"134",552201,"12/12/2017","นครศรีธรรมราช","นครศรีธรรมราช",84,0,26.5,NA,"2017"
"135",552201,"12/2/2015","นครศรีธรรมราช","นครศรีธรรมราช",80,0,24.8,13,"2015"
"136",552201,"12/2/2016","นครศรีธรรมราช","นครศรีธรรมราช",84,0,27,15,"2016"
"137",552201,"12/2/2017","นครศรีธรรมราช","นครศรีธรรมราช",91,15.6,24.4,17,"2017"
"138",552201,"12/2/2018","นครศรีธรรมราช","นครศรีธรรมราช",81,0,26.5,17,"2018"
"139",552201,"12/3/2015","นครศรีธรรมราช","นครศรีธรรมราช",75,0,27.2,15,"2015"
"140",552201,"12/3/2016","นครศรีธรรมราช","นครศรีธรรมราช",78,0,27.8,14,"2016"
"141",552201,"12/3/2017","นครศรีธรรมราช","นครศรีธรรมราช",80,0,26.4,12,"2017"
"142",552201,"12/3/2018","นครศรีธรรมราช","นครศรีธรรมราช",80,0,27.8,13,"2018"
"143",552201,"12/4/2015","นครศรีธรรมราช","นครศรีธรรมราช",78,33.3,28.8,14,"2015"
"144",552201,"12/4/2016","นครศรีธรรมราช","นครศรีธรรมราช",74,0,30.5,11,"2016"
"145",552201,"12/4/2017","นครศรีธรรมราช","นครศรีธรรมราช",81,0,29.1,13,"2017"
"146",552201,"12/4/2018","นครศรีธรรมราช","นครศรีธรรมราช",81,0,28.1,12,"2018"
"147",552201,"12/5/2015","นครศรีธรรมราช","นครศรีธรรมราช",83,0,28.7,10,"2015"
"148",552201,"12/5/2016","นครศรีธรรมราช","นครศรีธรรมราช",74,0,31.3,15,"2016"
"149",552201,"12/5/2017","นครศรีธรรมราช","นครศรีธรรมราช",82,18.6,28.9,0,"2017"
"150",552201,"12/6/2015","นครศรีธรรมราช","นครศรีธรรมราช",85,19.4,27.5,20,"2015"
"151",552201,"12/6/2016","นครศรีธรรมราช","นครศรีธรรมราช",81,0,29.4,15,"2016"
"152",552201,"12/6/2017","นครศรีธรรมราช","นครศรีธรรมราช",79,0,29.2,NA,"2017"
"153",552201,"12/7/2015","นครศรีธรรมราช","นครศรีธรรมราช",77,0,29.3,8,"2015"
"154",552201,"12/7/2016","นครศรีธรรมราช","นครศรีธรรมราช",88,10.6,27,13,"2016"
"155",552201,"12/7/2017","นครศรีธรรมราช","นครศรีธรรมราช",88,11.7,27.1,NA,"2017"
"156",552201,"12/8/2015","นครศรีธรรมราช","นครศรีธรรมราช",81,1.5,28.2,12,"2015"
"157",552201,"12/8/2016","นครศรีธรรมราช","นครศรีธรรมราช",82,6.5,28.2,19,"2016"
"158",552201,"12/8/2017","นครศรีธรรมราช","นครศรีธรรมราช",83,0,27.7,NA,"2017"
"159",552201,"12/9/2015","นครศรีธรรมราช","นครศรีธรรมราช",84,4.8,27.4,20,"2015"
"160",552201,"12/9/2016","นครศรีธรรมราช","นครศรีธรรมราช",85,2.6,26.7,13,"2016"
"161",552201,"12/9/2017","นครศรีธรรมราช","นครศรีธรรมราช",87,5,27.5,NA,"2017"
"162",552201,"13/1/2015","นครศรีธรรมราช","นครศรีธรรมราช",93,0,24.9,13,"2015"
"163",552201,"13/1/2016","นครศรีธรรมราช","นครศรีธรรมราช",82,0,26.9,13,"2016"
"164",552201,"13/1/2017","นครศรีธรรมราช","นครศรีธรรมราช",86,0,27.1,11,"2017"
"165",552201,"13/1/2018","นครศรีธรรมราช","นครศรีธรรมราช",82,0,25.6,20,"2018"
"166",552201,"13/10/2015","นครศรีธรรมราช","นครศรีธรรมราช",85,0,27.4,12,"2015"
"167",552201,"13/10/2016","นครศรีธรรมราช","นครศรีธรรมราช",85,0,27.3,11,"2016"
"168",552201,"13/10/2017","นครศรีธรรมราช","นครศรีธรรมราช",84,0,27.8,NA,"2017"
"169",552201,"13/11/2015","นครศรีธรรมราช","นครศรีธรรมราช",96,0,25.8,15,"2015"
"170",552201,"13/11/2016","นครศรีธรรมราช","นครศรีธรรมราช",92,0,26.5,12,"2016"
"171",552201,"13/11/2017","นครศรีธรรมราช","นครศรีธรรมราช",89,0,27.1,NA,"2017"
"172",552201,"13/12/2015","นครศรีธรรมราช","นครศรีธรรมราช",88,0,27.5,13,"2015"
"173",552201,"13/12/2016","นครศรีธรรมราช","นครศรีธรรมราช",84,0,26.5,10,"2016"
"174",552201,"13/12/2017","นครศรีธรรมราช","นครศรีธรรมราช",86,0,26,NA,"2017"
"175",552201,"13/2/2015","นครศรีธรรมราช","นครศรีธรรมราช",77,0,25.3,14,"2015"
"176",552201,"13/2/2016","นครศรีธรรมราช","นครศรีธรรมราช",84,0,26.8,10,"2016"
"177",552201,"13/2/2017","นครศรีธรรมราช","นครศรีธรรมราช",80,0,26.4,14,"2017"
"178",552201,"13/2/2018","นครศรีธรรมราช","นครศรีธรรมราช",81,0.5,26.6,17,"2018"
"179",552201,"13/3/2015","นครศรีธรรมราช","นครศรีธรรมราช",76,0,27.4,15,"2015"
"180",552201,"13/3/2016","นครศรีธรรมราช","นครศรีธรรมราช",82,0,27.5,13,"2016"
"181",552201,"13/3/2017","นครศรีธรรมราช","นครศรีธรรมราช",81,0,27.5,10,"2017"
"182",552201,"13/3/2018","นครศรีธรรมราช","นครศรีธรรมราช",80,0,27.3,14,"2018"
"183",552201,"13/4/2015","นครศรีธรรมราช","นครศรีธรรมราช",87,0,26.4,23,"2015"
"184",552201,"13/4/2016","นครศรีธรรมราช","นครศรีธรรมราช",74,0,30.1,12,"2016"
"185",552201,"13/4/2017","นครศรีธรรมราช","นครศรีธรรมราช",85,0,28.7,15,"2017"
"186",552201,"13/4/2018","นครศรีธรรมราช","นครศรีธรรมราช",82,0,28.2,12,"2018"
"187",552201,"13/5/2015","นครศรีธรรมราช","นครศรีธรรมราช",81,0,28.5,17,"2015"
"188",552201,"13/5/2016","นครศรีธรรมราช","นครศรีธรรมราช",73,0,30.6,15,"2016"
"189",552201,"13/5/2017","นครศรีธรรมราช","นครศรีธรรมราช",84,0,28.6,0,"2017"
"190",552201,"13/6/2015","นครศรีธรรมราช","นครศรีธรรมราช",82,0,28.3,14,"2015"
"191",552201,"13/6/2016","นครศรีธรรมราช","นครศรีธรรมราช",85,0,28.6,13,"2016"
"192",552201,"13/6/2017","นครศรีธรรมราช","นครศรีธรรมราช",81,0,28.4,NA,"2017"
"193",552201,"13/7/2015","นครศรีธรรมราช","นครศรีธรรมราช",76,0,29.2,14,"2015"
"194",552201,"13/7/2016","นครศรีธรรมราช","นครศรีธรรมราช",83,0,28.4,11,"2016"
"195",552201,"13/7/2017","นครศรีธรรมราช","นครศรีธรรมราช",81,0,27.9,NA,"2017"
"196",552201,"13/8/2015","นครศรีธรรมราช","นครศรีธรรมราช",84,0,27.7,10,"2015"
"197",552201,"13/8/2016","นครศรีธรรมราช","นครศรีธรรมราช",79,0,28.5,10,"2016"
"198",552201,"13/8/2017","นครศรีธรรมราช","นครศรีธรรมราช",81,0,27.9,NA,"2017"
