,addrcode,Week,Year,DF_6,DF_5,DF_4,DF_3,DF_2,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DFma_6,DFma_5,DFma_4,DFma_3,DFma_2,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,RF_wm6,LST_wm4,bin_pop9s,bowl_pop9s,bucket_pop9s,misc_short_pop9s,jar_pop9s,pottedplant_pop9s,tire_pop9s,misc_tall_pop9s,total_pop9s
236,8102,9,2016,0.0,0.0,0.0,0.18310658600000002,0.0,0.549319759,0.9155329320000001,0.36621317299999995,0.0,0.9155329320000001,0.0,0.0,0.06103552900000001,0.06103552900000001,0.244142115,0.48828423,0.6103552879999999,0.427248701,0.427248701,0.36621317299999995,1.21970049,4.691335125,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
237,8102,10,2016,0.0,0.0,0.0,0.0,0.18310658600000002,0.0,0.549319759,0.9155329320000001,0.36621317299999995,0.0,0.0,0.0,0.0,0.06103552900000001,0.06103552900000001,0.244142115,0.48828423,0.6103552879999999,0.427248701,0.427248701,0.4305977520000001,4.705295699,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
238,8102,11,2016,0.0,0.0,0.0,0.0,0.0,0.18310658600000002,0.0,0.549319759,0.9155329320000001,0.36621317299999995,0.0,0.0,0.0,0.0,0.06103552900000001,0.06103552900000001,0.244142115,0.48828423,0.6103552879999999,0.427248701,0.698631505,4.713060036,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
239,8102,12,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.18310658600000002,0.0,0.549319759,0.9155329320000001,0.0,0.0,0.0,0.0,0.0,0.06103552900000001,0.06103552900000001,0.244142115,0.48828423,0.6103552879999999,0.083192822,4.8387051969999995,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
240,8102,13,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18310658600000002,0.0,0.549319759,0.06103552900000001,0.0,0.0,0.0,0.0,0.0,0.06103552900000001,0.06103552900000001,0.244142115,0.48828423,0.038619752,4.8406003580000005,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
241,8102,14,2016,0.18310658600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18310658600000002,0.0,0.06103552900000001,0.06103552900000001,0.0,0.0,0.0,0.0,0.0,0.06103552900000001,0.06103552900000001,0.244142115,0.022180912,4.8390322580000005,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
242,8102,15,2016,0.0,0.18310658600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18310658600000002,0.06103552900000001,0.06103552900000001,0.06103552900000001,0.0,0.0,0.0,0.0,0.0,0.06103552900000001,0.06103552900000001,0.250865152,4.88921147,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
243,8102,16,2016,0.0,0.0,0.18310658600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06103552900000001,0.06103552900000001,0.06103552900000001,0.0,0.0,0.0,0.0,0.0,0.06103552900000001,0.039599169,4.9099686380000005,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
244,8102,17,2016,0.0,0.0,0.0,0.18310658600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.12207105800000001,0.0,0.06103552900000001,0.06103552900000001,0.06103552900000001,0.0,0.0,0.0,0.0,0.0,0.081253193,4.867880823999999,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
245,8102,18,2016,0.36621317299999995,0.0,0.0,0.0,0.18310658600000002,0.0,0.0,0.0,0.0,0.0,0.12207105800000001,0.12207105800000001,0.0,0.06103552900000001,0.06103552900000001,0.06103552900000001,0.0,0.0,0.0,0.0,0.26332871199999996,4.821415771,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
